impact	Europe	Asia	America	Oceania	Africa	Other
photochemical oxidation (high NOx) | Problem oriented approach: baseline (CML, 1999) | POCP (Jenkin & Hayman, 1999; Derwent et al. 1998; high NOx)	534991422.57	1534035106.92	538651898.103	68975034.6943	293968685.982	1018277258.65
photochemical oxidation (low NOx) | Problem oriented approach: non baseline (CML, 1999) | POCP (Andersson-Skï¿½ld et al. 1992; low NOx)	355129548.171	1225056363.06	287956819.897	46939331.0467	175041381.602	545095277.306
photochemical oxidation (MIR; very high NOx) | Problem oriented approach: non baseline (CML, 1999) | MIR 1997; very high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )	150264842.822	506996169.772	128250129.588	22346458.5787	86532130.7643	251626715.089
photochemical oxidation (MOIR; high NOx) | Problem oriented approach: non baseline (CML, 1999) | MOIR; high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )	270643981.041	915394385.931	229730984.539	39759054.8906	153398741.568	449075795.231
photochemical oxidation (EBIR; low NOx) | Problem oriented approach: non baseline (CML, 1999) | EBIR; low NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )	345776402.452	1168892470.81	293856049.333	50932284.18	196664806.95	574889152.776
acidification (incl. fate, average Europe total, A&B) | Problem oriented approach: baseline (CML, 1999) | AP ( Huijbregts, 1999; average Europe total, A&B)	5525015109.8	16632034843.8	7894575671.7	857427358.585	4376673738.96	24977737439.6
acidification (fate not incl.) | Problem oriented approach: non baseline (CML, 1999) | AP (Hauschild & Wenzel (1998).	6108240756.44	16902608679.4	8760962800.08	934677721.589	4637460986.83	27714687138
eutrophication (fate not incl.) | Problem oriented approach: baseline (CML, 1999) | EP (Heijungs et al. 1992))	887996845.157	1779279855.08	1406054754.37	150205489.994	695488543.699	4323977168.03
eutrophication (incl. fate, average Europe total, A&B) | Problem oriented approach: non baseline (CML, 1999) | EP ( Huijbregts, 1999; average Europe total, A&B)	9496333713.08	18433103927.6	15433649370.8	1581044299.26	7229834843.01	50240990894.4
odour | Problem oriented approach: non baseline (CML, 1999) | 1/OTV	1.57514064156e+15	2.79481424067e+15	3.11965791345e+15	3.26810866867e+14	1.52965102601e+15	1.05899116076e+16
Climate change midpoint | ILCD recommended CF | Global warming potential 100 years	776941953562	2.1381279573e+12	778400974889	136318238097	546868622563	1.88033504879e+12
Climate change endpoint, human health | ILCD recommended CF | Disability Adjusted Life Years (DALY)	1087682.45542	2993296.41855	1089688.65573	190833.101777	765549.310016	2632387.91697
Climate change endpoint, ecosystems | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF)	6159.00687427	16950.6252249	6168.9072164	1080.06457631	4332.19225353	14902.8170891
Human toxicity midpoint, cancer effects | ILCD recommended CF | Comparative Toxic Unit for human (CTUh)	5047.07145012	7931.32116735	1767.93272432	91.4649630521	949.953665138	5666.00035318
Human toxicity midpoint, non-cancer effects | ILCD recommended CF | Comparative Toxic Unit for human (CTUh)	855282.393296	1484744.11011	478772.968842	13905.2965796	293494.721814	1449850.66582
Human toxicity endpoint, cancer effects | ILCD recommended CF | Disability Adjusted Life Years (DALY)	58038.188744	91163.5622367	20330.0782479	1051.24351359	10924.7565062	65153.1751813
Human toxicity endpoint, non-cancer effects | ILCD recommended CF | Disability Adjusted Life Years (DALY)	2308660.03227	4006316.11549	1292321.22028	37512.0163862	792235.1164	3913420.2903
Particulate matter/Respiratory inorganics midpoint | ILCD recommended CF | emission-weighed average PM2.5 equivalent	898773024.183	4293658320.71	841815057.256	79414285.2722	501496357.625	2423220101.06
Particulate matter/Respiratory inorganics endpoint | ILCD recommended CF | Disability Adjusted Life Years (DALY)	1617791.43627	7728584.95147	1515267.09698	142945.712775	902693.441319	4361796.16871
Photochemical ozone formation midpoint, human health | ILCD recommended CF | Photochemical ozone creation potential (POCP)	1953781573.81	4126424413.38	2139291198.57	230719208.591	952306789.692	3562885967.43
Photochemical ozone formation endpoint, human health | ILCD recommended CF | Disability Adjusted Life Years (DALY)	76.2127793574	160.968225505	83.4478216697	9.00173523518	37.1542466529	138.982630587
Acidification midpoint | ILCD recommended CF | Accumulated Exceedance (AE)	6798462963.8	18797250973.9	11672190195.4	1272218752.57	6428902452.44	38612015406.7
Acidification endpoint | ILCD recommended CF | Change in potentially not occuring fraction of plant species per change in base saturation	31.4058686464	85.5413923007	54.2646195629	5.90365295139	29.7319352965	179.733078904
Eutrophication terrestrial midpoint | ILCD recommended CF | Accumulated Exceedance (AE)	21264398661.1	37729992249.1	42115381831.5	4411946702.7	20650288851.1	142963806703
Eutrophication marine midpoint | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF)	176415751.855	313019194.955	349401686.306	36602817.0891	171320914.913	1186070100.05
Ecotoxicity freshwater midpoint | ILCD recommended CF | Comparative Toxic Unit for ecosystems (CTUe)	354773866575	610051417881	265622074142	3715487317.61	165919412590	815332506400
Ecotoxicity freshwater endpoint | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF)	354773866575	610051417881	265622074142	3715487317.61	165919412590	815332506400
GHG emissions AR5 (GWP100) | GWP100 (IPCC, 2010)	829583117067	2.23331646629e+12	834089899491	144147559995	578222744925	1.95908906893e+12
Nitrogen	1458478810.62	3689149819.24	1952106728.86	166866112.358	671123789.75	3372914956.42
Phosphorous	310864465.397	1772871349.98	2125195762.74	358422445.174	546352400.299	1186944614.82
PM10	570260618.378	2641970651.78	451809499.154	42412664.8894	273347245.726	1207449661.59
PM25	423109015.516	1796363700.19	344263743.044	21038151.4607	206298969.113	903769916.925
SOx	1558426126.93	7906039669.51	1718185722.75	217748041.704	1381188056.41	5061436909.75
NOx	2270135080.29	5346276024.79	1682927870.15	146478993.335	543628283.246	3920314986.65
Domestic Extraction Used - Crop and Crop Residue	142858.459128	473893.778882	439741.340633	30103.8294037	190192.232091	434374.498946
Domestic Extraction Used - Grazing and Fodder	182125.568721	483276.46449	716580.750565	100737.362949	428120.979038	611088.821199
Domestic Extraction Used - Forestry and Timber	66046.8540732	103241.44759	126172.953508	7935.50257122	145095.779245	97190.8084407
Domestic Extraction Used â Fisheries	2318.14461635	5543.62730153	3542.64325685	70.4127350218	2089.68218586	7326.96786463
Domestic Extraction Used - Non-metalic Minerals	893930.117896	4015380.93467	760791.849013	50527.82671	639801.995703	2601899.08967
Domestic Extraction Used - Iron Ore	46572.4801548	289012.537107	97850.3892733	224461.380824	45548.4126287	76185.1753421
Domestic Extraction Used - Non-ferous metal ores	60610.1429872	262605.1659	421361.513098	178907.514688	204260.994989	274943.186245
Unused Domestic Extraction - Crop and Crop Residue	85644.1618931	271880.429736	220480.909355	10007.4283685	136035.291169	222322.258694
Unused Domestic Extraction - Grazing and Fodder	34135.2127814	11707.2472592	38879.540724	1440.79987594	1183.25413541	14917.4744669
Unused Domestic Extraction - Forestry and Timber	11221.3077552	15486.2171385	18924.9785413	1190.32538568	21764.3668867	14578.6212661
Unused Domestic Extraction â Fisheries	505.795261017	1036.74350489	681.644453562	11.4294358081	484.872506716	1592.00899648
Unused Domestic Extraction - Coal and Peat	1295994.05988	1521603.05856	1393998.45149	3486204.09234	1287853.39928	823594.799631
Unused Domestic Extraction - Oil and Gas	50524.501547	19330.2811884	44586.8520119	4990.77587221	69130.2491162	270179.344644
Unused Domestic Extraction - Non-metalic Minerals	112035.42421	42532.9315457	14290.4290098	1493.40771612	6966.55403949	34223.4960865
Unused Domestic Extraction - Iron Ore	27664.0532119	233304.945337	84969.8223635	267557.965943	44561.3664442	68085.2038511
Unused Domestic Extraction - Non-ferous metal ores	52064.010888	105654.208148	663067.744942	206037.003684	333207.122776	358476.645439
Land use Crop, Forest, Pasture	1618654.223	1636880.50368	3720543.6322	1051556.93119	3249644.12617	3128130.09894
