region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
CO - combustion - air	1673400846.12	430493078.405	1532298456.38	749989506.722	99292106.502	773357494.785	2245421806.69	1869974353.54	3809428734.17	1165563941.49	4494903743.32	453542199.44	29512383.0185	2331529310.07	2048095497.43	4070585512.24	6184915610.19	554615469.963	5161722772.74	557391663.18	31267832.8902	280338849.464	5482060896.05	843768422.461	249995720.858	17832085.2509	73887134.3688	6261642.02541	549439.027676	68110729.0099	156548443.56	31483561.655	505995122.157	25224479.1873	339683629.294	61461562.2784	5030152.69417	423166813.887	103935885.507	422700987.197	989630307.783	539678734.277	1022538803.57	244391733.612	7670821.45328	325569884.853	1200695364.56	961462821.664
Benzo(a)pyrene - combustion - air	1306478.51092	1915.85411879	59637.9146499	1267.09823637	252.756836425	11090.6383392	4645.64318351	87374.5913479	2283341.33182	5968.4624206	507740.656898	617.422430579	53.0010404284	165261.33212	1634.12801135	254752.514531	2673489.48193	1778.43419277	95113.0034767	1380.38513338	437.325068218	26062.866758	4774.71436538	59054.0423249	179828.77223	11.8861411064	3430.60370495	1.80804859284	0.0017645444149	1455.42875583	332.68487345	3849.51292191	195790.012253	629.661445678	19616.050586	1136.59111321	327.168086158	15768.3675505	1124.68320051	31827.4330023	968130.763411	2435.84579814	161038.373921	2104.47814739	1034.76480602	22789.2655017	4169.18189997	45626.7236398
Benzo(b)fluoranthene - combustion - air	2046548.36628	2807.89265753	87318.0769806	1845.20274793	378.983490255	15933.5138069	5688.81251824	122195.766522	3775611.0206	7708.41002113	679733.139254	745.608652493	68.9353152389	222247.442532	3129.72186397	341779.358055	4201753.56377	2433.42459491	145701.586837	2014.96278558	669.214191678	41359.2899786	6905.75054482	76766.7059874	292013.214193	14.2055364684	4876.45853274	1.8018542268	0.00264681662235	2346.77179982	546.59579481	6202.66620636	310390.82867	896.941927427	28358.5103881	1848.30948739	520.154519906	19025.6309094	1483.77311968	42758.8633164	1609227.6976	3480.68648689	243514.021022	3289.69209712	1696.99093189	30956.4331632	5195.45576713	65141.3567009
Benzo(k)fluoranthene - combustion - air	32.6385236872	322.246270707	12922.7021844	60.439366458	10.9348104978	2624.43762197	1097.80588735	45620.0555844	58.2497260049	3124.71452799	237353.33218	300.883269761	27.72816657	94567.5519017	822.284742601	143929.990355	18.1286795607	759.296919996	18814.7617223	108.939266831	1.90305388655	1266.82779027	1184.51665438	24285.9567601	0.0435260539136	8.99389852527	1199.76208075	0.76367858514	0.00264681662235	75.5267577907	10.9486922085	157.74283007	8.72731525319	231.828488642	5126.14045575	15.483958783	4.68870092362	7504.51772907	436.573255241	13763.9002012	466.585335373	865.7066525	35038.1467487	296.401855043	34.6176013021	9405.27318032	1308.40814589	16509.2650629
Indeno(1,2,3-cd)pyrene - combustion - air	100.259292715	266.978870091	10296.1012162	82.3276092755	9.275827232	2718.9072438	1296.1998626	40931.9231956	115.84244299	2441.94273757	186297.290701	254.311930332	21.8499917329	85176.1148436	1263.06107306	137070.497405	46.3765896894	559.585230387	15254.1701407	138.882678388	2.61290254324	1320.61609816	1510.30192257	27216.6916713	1.16802650223	5.36892208689	952.902593363	0.788531262263	0.00264681963349	69.8513618829	20.0534573461	164.495933849	9.76202423824	151.062703162	4189.28737153	16.3226893261	4.28683583204	7975.17779974	462.175829101	13184.3326217	369.528989519	581.226875814	27131.4341509	249.552400702	27.561056611	8031.84370962	1380.09819222	15125.352875
PCBs - combustion - air	4.3708804451	382.151970226	159.584655388	6.99111077402	7.60734975409	83.7381798146	12.3635139316	294.245018843	9.90028966407	1896.20011025	2107.44440469	4.73275742701	1.8583207575	123.39823044	0.868523329486	159.436701838	4.72497615499	11.9420043702	107.669644382	2.95561592872	6.83733848876	3.53472267427	0.0973931348289	9.32876144972	0.187408380904	0.00166644164373	7.17910611591	0.027831631757	0	1.80157813514	0.00236970557946	0.524663838467	0.417124300196	16.6740937535	30.6103681557	0.141060928417	0.592897224988	4.48758531779	0.257730631628	17.6309796293	4.88171032933	13.5241059479	251.295445406	2.08728521675	2.30487179795	54.6554869106	2.14366182416	66.6870248476
PCDD_F - combustion - air	0.00262273242909	0.060456898353	0.132020891244	0.00653515737048	0.000853338341685	0.0216606910602	0.00491333215984	0.233613218996	0.00854018733938	0.139142853091	2.10582024975	0.00689981880189	0.000406148359717	0.478449993356	0.00359727814431	0.648490991999	0.00394252362009	0.00870953022976	0.195114644508	0.012585816979	0.00197236953735	0.0056875480044	0.00117494119766	0.0603612225746	0.000157444274085	0.000126838877414	0.0111036055296	5.37534875313e-05	1.56987937269e-06	0.00151300988502	1.9700668209e-05	0.000766702368059	0.000351840551857	0.00217632765888	0.0497452291902	0.000784080077011	7.75178007501e-05	0.0430439931352	0.00200419581765	0.0770402068339	0.00487223900103	0.00631950407305	0.301397553606	0.00888841524062	0.000537136529485	0.0656664901612	0.00445261433505	0.0942657193438
HCB - combustion - air	0.199380515457	1.38823944479	1.24186568227	0.42142651303	0.0229677277545	0.41506704095	0.0516697905177	1.27760345715	0.738677201655	4.86030455294	9.17370879197	0.186011478769	0.00435949943286	1.37478129526	0.00319934302016	0.679932687426	0.355712670704	0.0392071006237	2.24122975325	0.229611520982	0.0300307077351	0.0440033581489	0.00256128373113	0.268407351022	0.0144160292554	7.58954358862e-06	0.0723291109035	0.00187616006177	0	0.00811728105454	1.36990647252e-05	0.00408756835428	0.024781536054	0.0631707062674	0.41118662832	0.00360256324129	0.00258755940428	0.372563608518	0.01093829551	0.291079906167	0.102348791258	0.0413787167187	1.1831181655	0.0142024169156	0.00905222243513	0.253411246944	0.00825892002915	0.241481524959
NMVOC - combustion - air	192938785.535	37511221.9553	258779851.631	56097710.2261	5976914.30976	71297348.5196	282555241.84	270606333.167	370972886.938	342561343.361	1109469453.09	80406360.1396	3346827.2311	314592806.565	413494109.223	400151053.258	541965323.25	148575944.883	1124938435.28	113356655.883	8798746.72956	63685195.5159	435391331.285	155968548.962	20159576.6258	2633892.75064	11075509.5727	704243.509267	68646.5598239	13374067.695	22196193.865	5191262.56059	43021430.7506	5889851.10753	58875228.9085	13734410.6583	878567.25536	107088235.186	10057103.1085	75618731.3787	199720087.909	157011757.813	191785984.852	44775807.5036	1560583.24933	79797464.5831	220447755.468	245798504.361
PM10 - combustion - air	86512272.2392	122329986.353	168602144.216	26272660.9453	6637691.81539	52104940.8275	448843797.957	248785962.498	176146567.842	273121227.78	1302781086.29	39346186.3608	1639946.1355	361105342.038	412850539.969	337246193.189	160036003.197	22665070.2342	205356318.13	37385368.1462	5140667.42478	16596598.3448	135693642.996	50964742.6076	10196934.9496	703253.354105	8078942.86427	86439.6491627	5193.03844587	4536600.5676	6200029.64007	1573038.74891	13709093.7898	3465723.26897	38876060.0577	5508892.51374	763054.175955	44033114.9735	7477965.22713	55896653.2379	76452826.2861	19223279.9529	219433977.868	37548448.1891	1053023.60268	51819969.3504	139767442.187	68927860.7823
